year,country,import,export,total,lon,lat
2014,卡塔尔,28,15612,18314,51.35,25.15
2014,匈牙利,146,405205,407861,19.05,47.29
2014,拉脱维亚,33,246026,249760,24.08,56.53
2014,捷克,436,120404,121765,14.22,50.05
2014,缅甸,1887,242129,258106,96.2,16.45
2014,以色列,330,279302,279881,35.12,31.47
2014,黎巴嫩,40,589166,593333,35.31,33.53
2014,马来西亚,2620,680,681,101.41,3.09
2014,阿曼,0,5633,5643,58.36,23.37
2014,菲律宾,422,123725,124415,121.03,14.4
2014,沙特阿拉伯,14,28040,28225,46.42,24.41
2014,土耳其,605,10284,10287,32.54,39.57
2014,越南,5156,15427,15427,105.55,21.05
2014,东帝汶,0,306,306,125.34,-8.29
2014,吉尔吉斯斯坦,0,301,301,74.46,42.54
2014,波兰,1637,3436,3438,21,52.13
2014,爱沙尼亚,1,3151,3151,24.48,5.22
2014,立陶宛,97,452,452,25.19,54.38
2014,白俄罗斯,3,19795,19795,27.3,53.52
2014,乌克兰,8,435,435,0,0
2014,克罗地亚,3,7085,7207,0,0
2014,斯洛伐克,31,25659,25677,0,0
2014,黑山,0,1443,1604,0,0
2014,文莱,0,12187,12581,0,0
2014,印度尼西亚,2878,68766,68785,0,0
2014,巴基斯坦,246,119,119,0,0
2014,新加坡,396085,17495,17974,0,0
2014,阿拉伯联合酋长国,138,51898,51931,0,0
2014,哈萨克斯坦,1,37255,37255,0,0
2014,保加利亚,0,10586,10586,0,0
2014,格鲁吉亚,2,14809,14818,0,0
2014,斯洛文尼亚,14,118,118,0,0
2014,塞尔维亚,1,121,121,0,0
2014,蒙古,8,203,203,100.35,13.45
2014,泰国,4447,88,88,0,0
2014,土库曼斯坦,0,51184,51698,0,0
2014,阿尔巴尼亚,0,131784,131800,0,0
2014,罗马尼亚,585,6461,6462,0,0
2014,俄罗斯联邦,8024,19279,19644,37.35,55.45
2014,印度,7101,23093,23106,77.13,28.37
2014,摩尔多瓦,1,37196,37204,0,0
2014,伊朗,975,438683,438822,51.3,35.44
2014,斯里兰卡,81,16679,16685,0,0
2014,约旦,0,5787,5787,0,0
2014,老挝,245,9825,9832,0,0
2014,科威特,1,896,896,0,0
2014,孟加拉国,168,47177,47177,0,0
2014,叙利亚,0,186053,189383,0,0
2014,乌兹别克斯坦,352,3181,3181,0,0
2014,埃及,45,61815,62256,0,0
2014,塔吉克斯坦,0,426304,815442,0,0
2014,柬埔寨,119,24772,24827,0,0
2014,马尔代夫,4,140846,141447,0,0
2014,也门共和国,0,132292,136094,0,0
2014,亚美尼亚,0,55664,55665,0,0
2014,巴勒斯坦,0,1155,1155,0,0
2014,尼泊尔联邦民主共和国,904,2810,2810,0,0
2014,前南斯拉夫马其顿,0,11929,12054,0,0
2014,波斯尼亚―黑塞哥维那,0,5258,5355,0,0
2014,阿富汗,0,70836,70885,0,0
2014,巴林,0,5571,5574,0,0
2014,不丹,0,1181,1198,0,0
2014,伊拉克,0,46982,47099,0,0
2014,阿塞拜疆,0,8118,8135,0,0
